location_id,management_professional_and_related,service,sales_and_office,farming_fishing_and_forestry,construction_extraction_maintenance_and_repair,production_transportation_and_material_moving,median_earnings_2010,unemployment
4346,43.75,19.45,23.9,0.4,5.85,6.65,21593.85588,0.066
4347,29.45,20.2,20.35,1.3,9.65,19,25908.61302,0.046
4348,27.9,18.2,18.35,1.1,11.2,23.2,25992.03143,0.066
4349,28,22.8,20.15,2.9,12.2,14.05,22476.35397,0.078
4350,19,14.1,20.25,1.65,8.2,36.75,20988.41492,0.11
4351,35.1,14.9,28.55,0.2,8.85,12.35,31001.17969,0.076
4352,25.35,15.4,21.85,0.15,15.35,21.9,31647.90635,0.09
4353,26.3,14.15,24.1,1.9,8.7,24.8,27898.23556,0.044
4354,25.5,17.9,19.05,2.5,11.8,23.25,22969.53365,0.104
4355,44.9,12.25,28.65,0.1,6.5,7.65,44713.71715,0.081
4356,26.95,17.75,22.7,3.4,11.85,17.3,26023.88857,0.124
4357,27.15,15.55,22.1,3.4,11.85,19.95,22051.82699,0.072
4358,20.15,12.05,17.65,5.85,12.2,32.1,22535.49302,0.066
4359,33.4,14.35,25.3,0.75,11.55,14.7,32666.66794,0.053
4360,26.55,21.9,22.6,0.15,8.7,20.1,21874.92826,0.106
4361,38.45,15.05,23.15,2.6,11.15,9.55,28212.66476,0.049
4362,31.1,20.4,23.4,2.5,15.45,7.15,20825.88,0.066
4363,23.1,12.6,24.95,0.6,21.3,17.4,24275.71016,0.078
4364,38.85,23.1,19.6,0.25,8.35,9.85,25602.29016,0.085
4365,39.15,18.6,23.55,0.3,10.05,8.4,34225.58572,0.079
4366,33.1,13.35,25.65,0.25,11.85,15.8,36119.93207,0.064
4367,31.75,21.9,23.9,1.9,12.35,8.15,21144.43238,0.071
4368,28.4,15.25,24.75,0.45,13.45,17.7,29422.87619,0.066
4369,34.5,18.05,25.6,0.1,6.95,14.8,27174.00699,0.078
4370,28.35,17.85,24.25,0.4,11.7,17.55,28952.42476,0.076
4371,33.95,12.1,27.6,0.75,10.6,15.05,32942.19207,0.054
4372,29.8,20.45,23.35,5.35,9.7,11.35,24088.39048,0.068
4373,33.25,13.95,29.2,0.3,10.2,13.15,30928.36635,0.067
4374,27.9,18.05,22.75,1.55,11.2,18.55,26534.81556,0.078
4375,27.75,16.5,26.25,0.65,11.25,17.6,25760.62953,0.067
4376,25.3,17.75,26.05,0.45,10,20.35,25103.06762,0.085
4377,27.85,18.15,25.65,0.55,9.55,18.25,25468.90476,0.058
4378,25.55,12.85,28.05,0.15,13.55,19.8,30246.45619,0.085
4379,26.25,19.2,19.9,0.5,16.55,17.55,26890.83461,0.051
4380,31.5,22.9,21.75,0.6,15.05,8.25,25411.97429,0.08
4381,26.25,19.45,25.05,1,9.95,18.25,29634.52953,0.066
4382,22.5,16.9,15.8,1.6,11.35,31.85,25050.52762,0.057
4383,28.2,19.65,25.95,0.4,7.85,18,21596.85556,0.084
4384,31.95,16.65,23.95,2.1,11.7,13.65,22973.88667,0.072
4385,24.1,22.15,30.7,0.25,11.35,11.55,21885.84508,0.087
4386,26.6,16.6,21.85,0.55,13.85,20.6,24257.81905,0.085
4387,34.2,25.05,19.3,3.5,11.65,6.3,20768.16413,0.122
4388,26,14.65,24.4,1,15.35,18.6,26050.42699,0.069
4389,19.8,13.6,25.3,0.25,13.5,27.6,24219.81969,0.117
4390,21.7,24.5,22.7,4.3,13.2,13.6,15910.39175,0.172
4391,30.2,15,23.2,1.2,11.15,19.25,29018.60349,0.067
4392,33.95,16.35,25.35,0.85,7.85,15.7,18549.43524,0.044
4393,20.05,24.5,20,2.2,12.25,21,20747.05524,0.093
4394,24.15,23.7,19.8,2.95,12.2,17.2,21182.61048,0.077
4395,19.7,26.1,15.25,6.3,13.05,19.65,20306.06857,0.127
4396,37.05,13.2,26.95,0.65,10.35,11.85,26649.31715,0.069
4397,40.7,14.3,28,0.6,7.2,9.2,40943.50064,0.092
4398,49.5,11.4,27.7,0.1,5.75,5.5,41999.33238,0.061
4399,28.95,11.85,16.1,1.95,12.45,28.75,19415.36064,0.117
4400,31.25,14.85,25.1,0.45,10.35,18.05,31589.32826,0.077
