location_id,total_votes,republicans_2016,democrats_2016,green_2016,libertarians_2016
4202,12529,65.97493814,28.3821534,1.300981722,3.847074787
4203,12609,66.52391149,27.44864779,1.038940439,4.988500278
4204,45266,73.28237529,22.1954668,0.63623912,3.885918791
4205,20261,63.5161147,27.29381571,0.424460787,7.926558413
4206,15689,73.5292243,19.47861559,0.847727707,4.053795653
4207,76246,67.84487055,27.350943,0.718726228,3.600188862
4208,6322,74.58082885,23.31540652,0.221448909,1.312875672
4209,21580,73.50787766,22.39573679,0.46802595,2.761816497
4210,31770,71.55177841,24.02581051,0.780610639,3.641800441
4211,6908,74.69600463,20.36768964,0.434279097,2.533294731
4212,21070,67.88324632,25.8092074,0.650213574,3.459895586
4213,12195,78.03198032,19.0897909,0.475604756,1.549815498
4214,19730,74.27774962,21.09984795,0.699442473,2.285859098
4215,175125,42.14532477,49.37673091,1.283654532,4.933618844
4216,20694,80.26964337,16.92277955,0.434908669,1.913598144
4217,42737,49.80227906,44.67089407,0.657509886,3.264150502
4218,309496,37.62019541,54.26338305,1.74121798,5.535451185
4219,19496,73.70229791,23.01497743,0.492408699,2.123512515
4220,313273,56.34255107,33.77469491,1.261519505,6.195235466
4221,2528,74.72310127,21.24208861,0.949367089,2.689873418
4222,6211,75.68829496,21.42972146,0.46691354,1.851553695
4223,8489,76.02780068,20.82695253,0.577217576,1.731652727
4224,26429,58.06122063,36.45238185,0.771879375,3.980475992
4225,269161,26.29578579,65.73352009,1.688951966,3.569610753
4226,17415,79.74734424,16.5374677,0.752225093,2.492104508
4227,151609,58.28809635,37.67190602,0.689273064,3.003779459
4228,16600,70.34337349,25.48795181,0.951807229,3.21686747
4229,24443,71.41103793,23.66321646,1.07188152,3.317923332
4230,18113,60.86236405,32.81068846,1.7832496,4.543697897
4231,18127,67.36911789,27.8976113,0.882661224,3.850609588
4232,26556,63.66546167,29.65054978,1.099563187,4.955565597
4233,10043,69.51110226,25.56009161,0.72687444,3.614457831
4234,5445,74.23324151,20.4040404,0.826446281,2.295684114
4235,7926,43.25006308,52.18268988,1.766338632,2.296240222
4236,37617,51.27468964,41.63543079,0.481165431,4.64949358
4237,31238,47.34938216,47.03246046,1.357321211,3.540559575
4238,12642,70.1629489,25.68422718,0.965037178,2.903021674
4239,17554,62.3219779,31.15529224,0.415859633,4.004785234
4240,167209,57.18113259,40.40512173,1.060947676,1.352797995
4241,291010,44.57784956,50.24913233,1.277275695,3.895742414
4242,14404,58.27547903,35.15690086,2.08275479,4.484865315
4243,73648,47.99723007,45.17434282,2.30556159,4.522865522
4244,104700,65.10028653,29.60076409,0.499522445,4.307545368
4245,20875,65.31736527,27.09461078,1.049101796,3.664670659
4246,4570,71.79431072,23.52297593,0.437636761,1.81619256
4247,32652,66.98823962,30.38098738,0.652333701,1.770182531
4248,20579,76.96681083,19.80173964,0.451917003,2.152679916
4249,17587,50.18479559,42.3267186,1.091715472,3.525331211
4250,11414,81.34746802,15.33204836,0.508147889,2.479411249
4251,6179,74.67227707,23.12671953,0.43696391,1.456546367
4252,100101,55.60384012,39.5440605,0.61737645,3.915045804
4253,910823,21.71453729,72.14892465,1.653559473,3.982881416
4254,7284,54.4892916,42.94343767,0.370675453,1.400329489
4255,357781,33.30836461,61.24668442,1.113530344,4.331420618
