location_id,white,black,hispanic,asian,american_ndian,other
3377,91.45,1.95,4,1.35,0.1,1.15
3378,53,44.3,1.5,0.15,0.4,0.65
3379,49.45,48.05,1.4,0.15,0.2,0.75
3380,82.3,6.2,3.5,0.8,5.8,1.45
3381,78.85,0.35,13.55,1.05,4.15,2.05
3382,93.7,3.35,1.3,0.55,0.1,1
3383,69.2,28.4,1.05,0.2,0.1,1.05
3384,47.85,19.2,25.65,4.55,0.2,2.45
3385,89,3.3,3.75,1.45,0.25,2.25
3386,80.65,10.45,4.25,1.6,0.5,2.5
3387,86.2,2.45,7.7,1.75,0.35,1.6
3388,73.85,10.85,8.35,2.7,0.75,3.6
3389,84.35,9.15,3,1.3,0.15,2.05
3390,86.3,0.5,10.45,0.85,0.55,1.35
3391,97.05,0.55,0.85,0.35,0.2,1
3392,90.35,3.05,4.15,0.6,0.35,1.5
3393,88.05,0.4,2.65,0.65,5.1,3.1
3394,62.35,33,1.95,0.15,0.2,2.35
3395,88.1,1.85,5.1,3.1,0.2,1.6
3396,78.4,13.35,5.25,0.7,0.35,2
3397,96.6,0.25,1.55,0.25,0.3,1.1
3398,49.65,0.25,47.5,0.3,1.05,1.15
3399,88.8,4.6,3.55,1.55,0.1,1.4
3400,68.4,27.9,2.1,0.75,0.15,0.75
3401,70.3,10.3,16.7,0.8,0.5,1.4
3402,96.9,0.35,0.85,0.1,0.35,1.55
3403,93.35,1.6,1,0.6,1.55,1.9
3404,63.3,22.65,8.05,4.05,0.2,1.75
3405,86.6,1.25,10.4,0.5,0.15,1.05
3406,55.15,1.6,40.3,0.7,0.6,1.65
3407,94.7,1.1,1.35,1.2,0.05,1.6
3408,85.7,5.95,4.3,1.6,0.3,2.15
3409,94.6,3.25,0.95,0.45,0.05,0.65
3410,94.35,0.45,1.75,1.8,0.65,0.9
3411,92.7,4.35,1.55,0.1,0.35,1
3412,84,13.4,1.15,0.6,0.2,0.7
3413,80.4,14.9,1.45,0.7,1.15,1.4
3414,94.9,2.75,0.75,0.3,0.1,1.15
3415,93.7,3.2,2,0.2,0.1,0.8
3416,81.6,0.15,14.75,0.65,0.85,2.05
3417,26.6,71.95,0.5,0.05,0.25,0.55
3418,11.35,0.45,6.3,0,80.85,1
3419,93.1,4.35,1.05,0.2,0.1,1.15
3420,15.25,82.2,0.8,0.2,0.2,1.35
3421,77.95,9.45,7.25,2.8,0.35,2.25
3422,63.1,30.05,1.35,0.1,4.6,0.75
3423,70.1,0.9,23.1,1.85,1,3
3424,89.8,1.05,2.45,5.4,0.1,1.15
3425,89.9,4.85,1.95,0.65,0.2,2.35
3426,65.1,32.85,0.85,0.2,0.15,0.8
3427,76.2,1.25,17.3,2.55,0.75,1.95
3428,87.05,2.85,8.1,0.6,0.15,1.2
3429,94.3,1.2,2.5,0.65,0.4,1
3430,70.6,22.85,2.65,2.3,0.25,1.4
3431,47.4,46.5,4.7,0.25,0.35,0.9
3432,58.45,1.85,30.7,6.1,0.45,2.45
3433,59.55,27.9,4.3,5.85,0.3,2.1
3434,60.1,30.2,7.85,0.3,0.15,1.35
3435,84.3,11.25,1.95,0.8,0.2,1.5
3436,59.15,7.95,30.55,0.65,0.4,1.25
3437,30.05,68.35,0.85,0.15,0.2,0.45
3438,66.9,29.35,2.3,0.7,0.15,0.6
3439,86.6,9.25,1.3,0.65,0.25,1.9
3440,96.15,0.4,1.05,0.75,0.45,1.2
3441,88.45,0.15,7.95,1.05,0.7,1.65
3442,92.65,2.05,3.1,0.35,0.3,1.45
3443,92.7,3.75,1.95,0.15,0.3,1.1
3444,95.8,0.45,1.2,0.9,0.2,1.4
3445,60.05,14.7,22.85,0.65,0.3,1.45
3446,95.05,0.5,1.05,0.5,0.8,2
3447,85.05,8.35,3.25,1.2,0.2,2.05
3448,95.75,0.9,1.5,0.6,0.3,0.95
3449,84.95,9.85,2.95,0.25,0.5,1.4
3450,96.45,0.25,1.35,0.05,0.85,1
3451,73.25,11.4,12.05,0.45,1.55,1.25
3452,54.75,0.95,40.95,0.4,1.3,1.7
3453,89.45,6,1.6,0.6,0.25,2.15
